categoria,archivo,titulo,subtitulo,descripcion
americana,53.jpg,Smash Burger Clásica,LA FAVORITA,Carne de vacuno jugosa con pan brioche tostado de sésamo y verduras frescas.
americana,54.jpg,Mac & Cheese Gratinado,PARA COMPARTIR,Macarrones cremosos bañados en una mezcla de quesos y gratinados al horno.
americana,55.jpg,Hot Dogs Gourmet,CASI IMPRESCINDIBLE,Salchicha en pan suave coronada con lechuga, tomate y mostaza casera.
americana,56.jpg,Burger con Bacon y Huevo,LA MÁS COMPLETA,Doble de queso, bacon crujiente y huevo frito, con patatas fritas de dos colores.
asiatica,36.jpg,Gyozas a la Plancha,CASI IMPRESCINDIBLE,"Empanadillas de cerdo y verduras, doradas por una cara y al vapor por la otra."
asiatica,37.jpg,Pollo Guisado al Estilo Coreano,RECOMENDADO,Muslos de pollo cocinados a fuego lento con soja, patata y fideos de cristal.
asiatica,38.jpg,Rollitos de Primavera,PARA EMPEZAR,Crujientes rollitos rellenos de verduras servidos con salsa agridulce.
asiatica,39.jpg,Surtido de Sushi,EL CLÁSICO,"Selección de nigiri, maki y sashimi de salmón fresco sobre tabla de madera."
asiatica,40.jpg,Pad Thai de Gambas,EL MÁS PEDIDO,"Fideos de arroz salteados con gambas, brotes de soja, huevo y lima."
fusion,45.jpg,Jardín de Otoño,CREACIÓN DE AUTOR,Bocado vegetal de inspiración nórdica presentado sobre musgo y madera natural.
fusion,46.jpg,Postre Helado de Frutos Rojos,EL FINAL PERFECTO,Quenelle de helado sobre crumble con polvo de pistacho y flores comestibles.
fusion,47.jpg,Pescado a la Brasa con Microbrotes,PLATO DE TEMPORADA,"Lomo de pescado crujiente con tomate asado, alcaparras y emulsión de aceituna."
fusion,52.jpg,Bao Bun Doble,TENDENCIA,"Pan al vapor relleno de proteína crujiente, mayonesa picante y salsa teriyaki."
italiana,foto-1.jpg,Espaguetis con Albóndigas,EL DE TODA LA VIDA,Pasta al dente con albóndigas en salsa de tomate y parmesano rallado.
italiana,foto-2.jpg,Pizza Margherita,LA IMPRESCINDIBLE,"Masa napolitana con tomate, mozzarella fresca y albahaca, horneada al momento."
italiana,foto-3.jpg,Lasaña Boloñesa,LA MÁS RECONFORTANTE,Capas de pasta con ragú de carne y bechamel gratinada al horno.
italiana,foto-4.jpg,Pasta Alfredo con Pollo,CREMOSA Y CLÁSICA,Espaguetis en salsa cremosa de queso con pollo y un toque de perejil.
mexicana,45.jpg,Tacos de Carnitas,EL AUTÉNTICO,"Tortilla de maíz con cerdo deshebrado, cebolla, cilantro, aguacate y lima."
mexicana,46.jpg,Tacos al Pastor,EL MÁS PEDIDO,"Carne marinada con cebolla, cilantro y lima sobre tortilla de maíz."
mexicana,47.jpg,Fajitas de Ternera,PARA COMPARTIR,"Tiras de ternera salteadas con pimientos, cebolla y queso fundido en sartén."
mexicana,48.jpg,Nachos con Guacamole,EL APERITIVO,"Totopos con queso fundido, jalapeños, pico de gallo y guacamole casero."
tradicional,41.jpg,Paella de Marisco,EL CLÁSICO,"Arroz al azafrán con gambas, mejillones y verduras cocinado en paella."
tradicional,42.jpg,Tortilla de Patatas,IMPRESCINDIBLE,"Tortilla jugosa de patata y huevo, dorada por fuera y melosa por dentro."
tradicional,43.jpg,Croquetas Caseras,PARA PICAR,Croquetas cremosas rebozadas y fritas hasta quedar doradas y crujientes.
tradicional,44.jpg,Patatas Bravas,EL TAPEO,Patatas fritas con salsa brava picante y alioli suave para mojar.
